nama_wilayah,tipe_wilayah,kode_wilayah,tahun,dbh_pajak,dbh_sda,dbh_lainnya,dau_block_grant,dau_earmark,dak_fisik,dak_nonfisik,hibah,did_reguler,dana_desa
Kota Padang,Kota,31744116140,2015,44774572300,1849915709,0,1072429395000,0,50026350000,0,0,0,0
Kota Padang,Kota,31744116140,2016,59979360485,818045133,0,1120046168000,0,84117359539,168223171000,0,5000000000,0
Kota Padang,Kota,31744116140,2017,74166651617,1322006258,0,1100370559000,0,69956914000,123788643124,0,52752520000,0
Kota Padang,Kota,31744116140,2018,63081724577,1446387865,0,1100370559000,0,60819648780,202211312324,0,28250000000,0
Kota Padang,Kota,31744116140,2019,46673317996,1833960430,0,1176301985000,0,105311616899,201107261520,0,52141161000,0
Kota Padang,Kota,31744116140,2020,71795972831,1951141963,0,1061387887000,0,68878598492,214450386977,0,44449435000,0
Kota Padang,Kota,31744116140,2021,88428266156,3302968664,0,1044871353000,0,96989707993,203334013398,0,25381995000,0
Kota Padang,Kota,31744116140,2022,98179203114,4341361029,0,1044871353000,0,50246336758,304624895066,0,24363996000,0
Kota Padang,Kota,31744116140,2023,92472605040,4946917000,5686816000,946262396000,169798324000,16508320521,320034456648,2403000000,5322150000,0
Kota Padang,Kota,31744116140,2024,69235824000,2880561000,5023399000,1041473557000,224827777000,19407913008,344856402646,3732000000,8278678000,0
Kota Payakumbuh,Kota,31744116140,2014,11443024633,2114997363,0,412929814000,0,32503170000,0,0,0,0
Kota Payakumbuh,Kota,31744116140,2015,9491839950,1849915709,0,425111374000,0,72174160000,0,0,0,0
Kota Payakumbuh,Kota,31744116140,2016,30473796055,773685983,0,445523347000,0,92457988430,46436276500,0,5000000000,0
Kota Payakumbuh,Kota,31744116140,2017,13450226340,1315988592,0,437696934000,0,54789553678,39427051096,0,50789397000,0
Kota Payakumbuh,Kota,31744116140,2018,10574480414,1455784321,0,437696934000,0,49678645710,49344344573,0,16500000000,0
Kota Payakumbuh,Kota,31744116140,2019,7561136627,1824255192,0,468507057000,0,84426428146,50420888180,0,33014812000,0
Kota Payakumbuh,Kota,31744116140,2020,9060554551,1948804761,0,421054226000,0,37520130927,51105829000,0,38868942000,0
Kota Payakumbuh,Kota,31744116140,2021,13146960943,3294444154,0,413827474000,0,35139995884,54933591000,0,17694330000,0
Kota Payakumbuh,Kota,31744116140,2022,12930284587,4852618915,0,413827474000,0,37979453743,72809891097,0,1946993000,0
Kota Payakumbuh,Kota,31744116140,2023,7762209000,3472158000,1905720000,326215172000,105481189000,16755427452,79834984936,1800000000,46963381000,0
Kota Payakumbuh,Kota,31744116140,2024,5891546000,1934661000,1683401000,402821444000,51035023847,11649788700,81164882661,1536000000,18975765000,0
Kota Sawahlunto,Kota,31744116140,2014,11980248997,11830290224,0,336999766000,0,31072890000,0,0,0,0
Kota Sawahlunto,Kota,31744116140,2015,10075920200,5853641393,0,344941712000,0,49424430000,0,0,0,8191432000
Kota Sawahlunto,Kota,31744116140,2016,22306079324,2988271208,0,381838808000,0,75101270486,21731870000,0,0,18396311000
Kota Sawahlunto,Kota,31744116140,2017,11859063285,8618888650,0,375131128000,0,53514609413,22346753870,0,7500000000,23665861000
Kota Sawahlunto,Kota,31744116140,2018,9193493607,9950258859,0,375131128000,0,32834821800,31580316340,0,27500000000,23469694000
Kota Sawahlunto,Kota,31744116140,2019,7929496961,18513000159,0,390090115000,0,48812234207,32801188600,0,22193148000,28211222000
Kota Sawahlunto,Kota,31744116140,2020,8424860218,6869707138,0,347498276000,0,48410767634,35764883750,0,0,28631236000
Kota Sawahlunto,Kota,31744116140,2021,18828187103,11621915709,0,341393550000,0,36226376563,37900162347,0,37290036000,30109035910
Kota Sawahlunto,Kota,31744116140,2022,17348614016,23002258788,0,341393550000,0,74358095142,45108412992,0,5044116000,20098731000
Kota Sawahlunto,Kota,31744116140,2023,8816213000,36358681000,5396848000,276937890000,79340560000,50548393204,52320788084,0,0,21339313000
Kota Sawahlunto,Kota,31744116140,2024,10519670000,18943248000,4767259000,321981891000,59106756217,33458550676,47949696990,0,13892503000,21553195000
Kota Solok,Kota,31744116140,2014,11639217961,2114997363,0,354372862000,0,32287100000,0,0,3000000000,0
Kota Solok,Kota,31744116140,2015,9701200100,1849915709,0,360719232000,0,43582850000,0,0,0,0
Kota Solok,Kota,31744116140,2016,21767123496,773498410,0,405224758000,0,63137856757,27743452000,0,0,0
Kota Solok,Kota,31744116140,2017,13303359398,1315780215,0,398106262000,0,40613029800,21094782040,0,47454743000,0
Kota Solok,Kota,31744116140,2018,9946771572,1455782349,0,398106262000,0,43888798717,28079648577,0,9500000000,0
Kota Solok,Kota,31744116140,2019,8069793945,1824186055,0,413167121000,0,57668296845,30441621455,0,21540682000,0
Kota Solok,Kota,31744116140,2020,9238826691,1948737961,0,376130341000,0,22604314963,30518815000,0,30460206000,0
Kota Solok,Kota,31744116140,2021,14142721252,3294106554,0,369336357000,0,37780402698,33747173800,0,9206716000,0
Kota Solok,Kota,31744116140,2022,13327482453,4852448263,0,369336357000,0,27199217536,40420531879,0,7213458000,0
Kota Solok,Kota,31744116140,2023,8681404000,3439749000,7309141000,305717182000,78540967000,10732648707,47040886960,918000000,20752894000,0
Kota Solok,Kota,31744116140,2024,6289986000,2019717000,6456465000,365177601000,34022527012,19799744550,44915679233,0,15375053000,0
Kota Pariaman,Kota,31744116140,2014,14452668504,2114997363,0,386256228000,0,38438430000,0,0,0,0
Kota Pariaman,Kota,31744116140,2015,12354618800,1849915709,0,389745497000,0,49605640000,0,0,0,15339016000
